"case","serial","ref","questnnr","mode","started","am01","am02_01","am02_02","am03_01","am03_02","am04","am05","am06","am07","am08","am08_01","am08_02","am08_03","am08_04","am08_05","am08_06","am08_07","am08_08","am08_09","am08_11","am08_12","am08_13","am08_10","am08_10a","am09","am09_01","am09_02","am09_03","am09_04","am09_05","am09_06","am09_07","am09_08","am09_09","am09_11","am09_12","am09_10","am09_10a","am10","am10_01","am10_02","am10_03","am10_04","am10_05","am10_06","am10_07","am10_07a","am11","am11_05","am12","am13","am13_01","am13_02","am13_03","am13_04","am13_05","am13_06","am13_07","am13_08","am14","am14_09","am15","am15_12","am17","am17_01","am17_02","am17_03","am17_04","am17_05","am17_06","am17_07","am17_12","am17_08","am17_09","am17_10","am17_11","am18","am19","am20_01","am22","am23","am24","am24_02","am25","am25_02","am27","am29","am30","gh02_01","gh03_01","gh03_02","gh03_03","gh03_04","gh03_05","gh03_06","gh03_07","gh03_08","gh03_09","gh03_10","gh03_11","gh03_12","gh03_13","gh04_01","gh05_01","gh06_01","gh07_01","gh08_01","gh08_02","gh08_03","gh09_01","gh09_02","gh10_01","gh11_01","gh11_02","gh12_01","lo01_01","lo01_02","lo01_03","lo01_04","lo01_05","lo01_06","lo01_07","lo01_08","lo01_09","lo01_10","so01_01","so02_01","sw02_01","sw02_02","sw02_03","sw02_04","sw02_05","sw02_06","sw02_07","sw02_08","sw02_09","sw02_10","ie01_01","ie01_02","ie01_03","ie01_04","os02","os03","os04","br01_01","br01_02","br01_03","br01_04","br01_05","br01_06","pt02_01","pt02_02","pt02_03","pt02_04","pt02_05","pt01_01","pt01_02","pt01_03","pt01_04","pt01_05","pt06_01","pt03_01","pt05_01","pt04","rc01_01","rc02_01","time001","time002","time003","time004","time005","time006","time007","time008","time009","time010","time011","time012","time013","time014","time015","time016","time017","time018","time019","time020","time021","time022","time023","time024","time025","time026","time_sum","mailsent","lastdata","finished","q_viewer","lastpage","maxpage","missing","missrel","time_rsi","deg_time","kuerzel","geburtsdatum","geschlecht","gruppe","fall","gbs_code","runde2","fall_runde2","runde1","vollstaendig","nurwelle2","welle2","welle"
357,"12W7PUPPXL",NA,"Resilienz_und_politische_Teilhabe01","interview",2017-09-20 10:44:03,"männlich",1979-04-02,38,189,107,"nicht zutreffend",NA,"nicht zutreffend",NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Deutschland",NA,"Nein",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)",NA,"Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen",NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Nicht abhängig beschäftigt","Ja",45,"Selbstständige (im Handel, im Gastgewerbe, im Handwerk, in der Industrie, der Dienstleistung, auch Ich-AG oder Produktionsgenossenschaft des Handwerks (PGH)-Mitglied)","Ledig","mehrere Personen, und zwar:",4,"mehrere Personen, und zwar:",2,"3 750	 bis unter 	4 000 Euro","1 250 	 bis unter 	1 500 Euro","Weniger gesund/häufiger krank",3,2,1,2,1,2,4,2,2,2,2,4,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,4,2,5,3,3,4,3,3,3,5,3,2,3,3,3,3,2,1,3,3,3,2,4,4,"3 - 5","viel Anteilnahme und Interesse","möglich",4,3,4,3,2,2,1,4,2,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,"KASC79",NA,9,65,42,5,NA,3,NA,12,75,NA,15,27,38,84,11,236,74,8,5,40,13,28,35,36,6,NA,802,NA,2017-09-20 10:58:30,TRUE,FALSE,25,25,0,0,1.49,28,"KASC79",1979-04-02,"männlich","POSITIV",357,"GBS-18926","JA",883,1,NA,NA,FALSE,"Welle 1"
883,"12W7PUPPXL",NA,"Resilienz_und_politische_Teilhabe04","interview",2017-10-11 09:36:42,"männlich",NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 250 	 bis unter 	1 500 Euro",NA,3,3,2,2,2,2,3,4,2,3,3,4,3,4,2,3,2,2,3,3,2,2,1,1,1,1,1,3,3,4,4,5,4,3,4,3,3,4,5,3,3,3,3,3,3,3,2,3,3,3,2,4,3,"3 - 5","viel Anteilnahme und Interesse","schwierig",2,3,2,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,TRUE,NA,"KASC79",38,19,101,38,4,8,34,12,12,25,8,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308,NA,2017-10-11 09:41:50,TRUE,FALSE,13,13,0,0,1.86,46,"KASC79",1979-04-02,"männlich","POSITIV",357,"GBS-18926","JA",883,1,NA,NA,TRUE,"Welle 2"
496,"133E3F7AMT",NA,"Resilienz_und_politische_Teilhabe01","interview",2017-09-22 20:58:09,"weiblich",1945-10-29,71,160,66,"nicht zutreffend",NA,"nicht zutreffend",NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Deutschland",NA,"Ja",1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Hochschulabschluss",NA,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Nicht abhängig beschäftigt","Nein",0,"Beamter/Beamtin, Richter/-in, Berufssoldat/-in","Geschieden","eine Person",NA,"eine Person",NA,"2 250	 bis unter	2 500 Euro","2 250	 bis unter	2 500 Euro","Gesünder/ weniger oft krank",2,4,2,3,-1,-1,3,4,4,3,4,4,4,4,3,2,3,2,3,3,3,1,1,1,1,1,1,5,4,4,4,4,2,2,5,2,5,6,5,3,3,3,3,3,4,4,3,3,3,5,4,1,3,"3 - 5","weder viel noch wenig","sehr einfach",4,2,4,2,4,2,2,3,2,3,1,NA,NA,NA,NA,NA,NA,5,NA,NA,"Jufa45",NA,136,68,139,12,NA,5,NA,24,20,28,12,38,73,45,48,216,97,13,12,67,27,33,49,50,9,NA,985,NA,2017-09-22 21:18:30,TRUE,FALSE,25,25,0,0,0.9,5,"Jufa45",1945-10-29,"weiblich","POSITIV",496,"GBS-18016","JA",742,1,NA,NA,FALSE,"Welle 1"
742,"133E3F7AMT",NA,"Resilienz_und_politische_Teilhabe04","interview",2017-10-08 21:08:09,"weiblich",NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hochschulabschluss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 250	 bis unter	2 500 Euro",NA,2,4,3,3,4,3,3,4,4,4,4,4,4,4,3,2,3,3,3,3,3,1,1,1,1,1,1,4,3,2,4,4,2,2,5,2,4,6,2,3,3,3,3,3,3,3,3,3,3,4,4,2,3,"3 - 5","weder viel noch wenig","sehr einfach",4,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5,TRUE,NA,"Jufa45",34,62,171,97,13,11,69,29,25,54,16,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,597,NA,2017-10-08 21:18:06,TRUE,FALSE,13,13,0,0,0.89,3,"Jufa45",1945-10-29,"weiblich","POSITIV",496,"GBS-18016","JA",742,1,NA,NA,TRUE,"Welle 2"
304,"14DFPQ1EHD",NA,"Resilienz_und_politische_Teilhabe02","interview",2017-09-19 17:05:10,"männlich",1949-09-06,68,177,87,"nicht zutreffend",NA,"nicht zutreffend",NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Deutschland",NA,"Nein",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hochschulabschluss",NA,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Nicht abhängig beschäftigt","Nein",0,"keine passende Angabe","Verheiratet und lebe mit meinem/r Ehepartner/-in zusammen","mehrere Personen, und zwar:",2,"mehrere Personen, und zwar:",2,"3 750	 bis unter 	4 000 Euro","2 750	 bis unter 	3 000 Euro","Gleich gesund/ gleichhäufig krank",2,4,3,4,4,4,4,3,3,4,4,4,3,3,3,2,3,3,3,3,3,1,1,1,1,1,1,4,5,3,4,5,4,3,4,4,4,6,3,3,3,3,-1,-1,3,3,3,3,3,5,4,2,1,"3 - 5","viel Anteilnahme und Interesse","sehr einfach",3,2,4,4,2,4,NA,NA,NA,NA,NA,5,5,4,2,4,NA,5,NA,NA,"DISC49",NA,48,99,46,10,NA,8,NA,28,13,NA,17,107,83,335,23,307,245,49,64,245,75,44,117,83,35,NA,1315,NA,2017-09-19 17:39:51,TRUE,FALSE,25,25,0,0,0.53,0,"DISC49",1949-09-06,"männlich","NEGATIV",304,"GBS-21180","JA",566,1,NA,NA,FALSE,"Welle 1"
566,"14DFPQ1EHD",NA,"Resilienz_und_politische_Teilhabe04","interview",2017-10-07 17:11:54,"männlich",NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hochschulabschluss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 750	 bis unter 	3 000 Euro",NA,2,2,3,2,4,4,4,3,3,4,4,4,3,3,2,2,3,2,3,3,2,1,1,1,1,1,1,5,5,2,5,5,4,2,3,3,5,6,3,3,3,3,3,3,3,3,3,3,3,5,4,2,2,"3 - 5","sehr viel Anteilnahme und Interesse","einfach",4,2,4,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,5,TRUE,NA,"DISC49",9,40,310,197,18,19,126,40,44,74,15,8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,912,NA,2017-10-07 17:27:06,TRUE,FALSE,13,13,0,0,0.72,1,"DISC49",1949-09-06,"männlich","NEGATIV",304,"GBS-21180","JA",566,1,NA,NA,TRUE,"Welle 2"
148,"15B5982QH1",NA,"Resilienz_und_politische_Teilhabe01","interview",2017-09-15 18:56:06,"weiblich",1992-07-31,25,145,96,"nicht zutreffend",NA,"nicht zutreffend",NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Deutsche Gebärdensprache, Afrikaans",1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Deutschland",NA,"Ja",4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Hochschulabschluss",NA,"Bachelor an (Fach-)Hochschule abgeschlossen",NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Nicht abhängig beschäftigt","Nein",10,"Angestellte(r)","Ledig","eine Person",NA,"eine Person",NA,"Angabe verweigert","Angabe verweigert","Weniger gesund/häufiger krank",2,2,2,3,3,3,3,4,4,3,3,4,2,2,3,2,2,1,2,2,2,3,2,1,2,1,1,4,4,2,2,3,2,2,4,3,4,6,3,2,3,1,3,3,2,2,3,3,3,2,4,2,1,"3 - 5","viel Anteilnahme und Interesse","sehr einfach",4,2,4,1,2,2,2,2,3,3,2,NA,NA,NA,NA,NA,NA,4,NA,NA,"ANGA92",NA,29,52,35,5,NA,3,NA,41,8,22,21,27,67,89,11,169,84,9,9,69,32,41,39,48,10,NA,920,NA,2017-09-15 19:11:26,TRUE,FALSE,25,25,0,0,1.12,9,"ANGA92",1992-07-31,"weiblich","POSITIV",148,"GBS-29457","JA",697,1,NA,NA,FALSE,"Welle 1"
697,"15B5982QH1",NA,"Resilienz_und_politische_Teilhabe04","interview",2017-10-08 14:20:09,"weiblich",NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hochschulabschluss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Angabe verweigert",NA,3,4,2,2,3,3,4,4,4,-1,3,4,3,3,2,2,3,3,3,3,3,1,1,1,1,1,1,3,4,2,2,3,1,2,5,2,4,5,2,3,2,2,3,3,2,2,2,3,2,3,2,2,2,"3 - 5","sehr viel Anteilnahme und Interesse","sehr einfach",3,2,3,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,"ANGA92",13,35,155,75,11,8,56,23,38,39,13,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,482,NA,2017-10-08 14:28:11,TRUE,FALSE,13,13,0,0,1.08,7,"ANGA92",1992-07-31,"weiblich","POSITIV",148,"GBS-29457","JA",697,1,NA,NA,TRUE,"Welle 2"
88,"15NYC66WME",NA,"Resilienz_und_politische_Teilhabe01","interview",2017-09-14 18:30:06,"weiblich",1984-03-01,33,173,75,"nicht zutreffend",NA,"nicht zutreffend",NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Deutschland",NA,"Nein",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hauptschulabschluss/Volksschulabschluss",NA,"Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen",NA,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Zwei","Nein",34,"Angestellte(r)","Ledig","mehrere Personen, und zwar:",3,"eine Person",NA,"1 250 	 bis unter 	1 500 Euro","1 250 	 bis unter 	1 500 Euro","Gleich gesund/ gleichhäufig krank",2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,1,2,1,1,3,3,3,3,4,4,4,3,3,3,4,2,4,4,3,3,3,3,3,3,3,3,5,5,2,2,"3 - 5","viel Anteilnahme und Interesse","einfach",4,4,4,4,4,4,3,3,3,3,3,NA,NA,NA,NA,NA,NA,3,NA,NA,"JAKR84",NA,36,42,28,4,NA,4,NA,36,7,NA,20,35,46,51,9,159,44319,25,27,64,13243,27,48,29,12,NA,842,NA,2017-09-15 10:41:17,TRUE,FALSE,25,25,0,0,1.09,14,"JAKR84",1984-03-01,"weiblich","POSITIV",88,"GBS-24376","JA",580,1,NA,NA,FALSE,"Welle 1"
580,"15NYC66WME",NA,"Resilienz_und_politische_Teilhabe04","interview",2017-10-07 18:16:29,"weiblich",NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hauptschulabschluss/Volksschulabschluss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 250 	 bis unter 	1 500 Euro",NA,2,3,3,2,2,2,3,3,3,2,2,3,2,3,3,2,3,3,3,3,3,2,2,2,2,2,2,4,3,3,3,4,4,3,3,3,3,5,4,4,3,4,4,-1,-1,-1,-1,4,4,4,4,2,3,"3 - 5","weder viel noch wenig","möglich",4,4,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5,TRUE,NA,"JAKR84",5,20,141,888,8,8,83034,27,33,51,11,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,471,NA,2017-10-08 17:40:26,TRUE,FALSE,13,13,0,0,1.15,15,"JAKR84",1984-03-01,"weiblich","POSITIV",88,"GBS-24376","JA",580,1,NA,NA,TRUE,"Welle 2"
