,Berufliche Ausbildung,Berufsgruppe,Erwerbstaetigkeit,Familienstand,Geburtsjahr,Geburtsland,Geschlecht,Hoechster Bildungsabschluss,Nationalitaet,Nettoeinkommen Haushalt,Nettoeinkommen Selbst,Personen im Haushalt,Umfrage
0,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,"Selbstständige (im Handel, im Gastgewerbe, im Handwerk, in der Industrie, der Dienstleistung, auch Ich-AG oder Produktionsgenossenschaft des Handwerks (PGH)-Mitglied)",Vollzeiterwerbstätig,Ledig,1979,Deutschland,Männlich,Abitur,Deutschland,3 750	 bis unter 	4 000 Euro,1 250 	 bis unter 	1 500 Euro,"mehrere Personen, und zwar:",GBS
1,,,,,nan,,Männlich,Abitur,,,1 250 	 bis unter 	1 500 Euro,,GBS
2,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)","Beamter/Beamtin, Richter/-in, Berufssoldat/-in",Vollzeiterwerbstätig,Geschieden,1945,Deutschland,Weiblich,Hochschulabschluss,Deutschland,2 250	 bis unter	2 500 Euro,2 250	 bis unter	2 500 Euro,eine Person,GBS
3,,,,,nan,,Weiblich,Hochschulabschluss,,,2 250	 bis unter	2 500 Euro,,GBS
4,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",keine passende Angabe,Vollzeiterwerbstätig,Verheiratet,1949,Deutschland,Männlich,Hochschulabschluss,Deutschland,3 750	 bis unter 	4 000 Euro,2 750	 bis unter 	3 000 Euro,"mehrere Personen, und zwar:",GBS
5,,,,,nan,,Männlich,Hochschulabschluss,,,2 750	 bis unter 	3 000 Euro,,GBS
6,Bachelor an (Fach-)Hochschule abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Ledig,1992,Deutschland,Weiblich,Hochschulabschluss,Deutschland,Angabe verweigert,Angabe verweigert,eine Person,GBS
7,,,,,nan,,Weiblich,Hochschulabschluss,,,Angabe verweigert,,GBS
8,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Ledig,1984,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,1 250 	 bis unter 	1 500 Euro,1 250 	 bis unter 	1 500 Euro,"mehrere Personen, und zwar:",GBS
9,,,,,nan,,Weiblich,Hauptschulabschluss,,,1 250 	 bis unter 	1 500 Euro,,GBS
