,GBS-CODE,Gruppe,Geschlecht,Geburtsjahr,Geburtsland,Nationalitaet,Familienstand,Hoechster Bildungsabschluss,Berufliche Ausbildung,Erwerbstaetigkeit,Berufsgruppe,Personen im Haushalt,Nettoeinkommen Selbst,Nettoeinkommen Haushalt,Schlechter Schlaf,Leben genießen,Zu Nichts aufraffen,Alles anstrengend,Wahlteilnahme,Wahlabsicht,Desinteresse Politiker,Zufriedenheit Leben,Aktiv,Verärgert,Wach,Nervös,Ängstlich,Zurueckhaltend,leicht Vertrauen,Faulheit,Entspannt,wenig kuenstlerisches Interesse,Gesellig,Andere kritisieren,Gruendlich,Nervoes,Phantasievoll,Druck,Optimismus Zukunft,Zufriedenheit Wahlergebnis,Resilienz,label
192,GBS-16120,,-1.0369973945473194,-0.3260865750433037,0.3100579629838321,0.17633099834280683,-0.5734657706531676,0.977465930116216,2.0,-0.8305182273380257,-0.4456216393135642,-1.2876461863035953,-0.15779101750491065,0.613294767538716,4.0,3.0,3.0,2.0,0,0.3186954528873749,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,2.0,4.0,2.0,5.0,3.0,5.0,5.0,-1.7041206253972043,1
419,GBS-28052,NEGATIV,0.9643225771425686,0.29489186292167024,0.3100579629838321,0.17633099834280683,-0.5734657706531676,0.977465930116216,2.0,-0.8305182273380257,2.6631669525791377,1.275490022504477,0.7851504817725311,1.5791827475854763,4.0,2.0,3.0,2.0,0,0.3186954528873749,3.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,1.0,2.0,2.0,3.0,3.0,5.0,2.0,4.0,1.0,3.0,3.0,-0.3111846724384411,1
350,GBS-24634,,0.9643225771425686,-0.533079387698295,0.3100579629838321,0.17633099834280683,-0.5734657706531676,0.977465930116216,5.0,-0.8305182273380257,-0.4456216393135642,1.275490022504477,-0.15779101750491065,0.613294767538716,2.0,4.0,3.0,2.0,0,0.3186954528873749,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,5.0,2.0,-0.3111846724384411,1
410,GBS-27826,NEGATIV,0.9643225771425686,0.3638894671400007,0.3100579629838321,0.17633099834280683,-0.5734657706531676,0.977465930116216,2.0,-0.8305182273380257,1.8859698046059623,-1.2876461863035953,2.6710334803274143,1.5791827475854763,4.0,3.0,3.0,2.0,0,0.3186954528873749,2.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,4.0,2.0,4.0,3.0,5.0,1.0,2.0,3.0,5.0,3.0,-1.7041206253972043,1
480,GBS-30308,,0.9643225771425686,1.191860717759966,-3.225203411570322,0.17633099834280683,1.176664050478243,0.977465930116216,2.0,-0.8305182273380257,-0.4456216393135642,-1.2876461863035953,2.6710334803274143,1.5791827475854763,2.0,3.0,3.0,2.0,0,0.3186954528873749,3.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,5.0,1.0,5.0,4.0,4.0,2.0,4.0,1.0,2.0,3.0,5.0,2.0,-1.7041206253972043,1
566,GBS-35139,POSITIV,0.9643225771425686,-0.7400722003532864,0.3100579629838321,0.17633099834280683,-0.5734657706531676,-1.6281876588547775,1.0,-0.8305182273380257,-0.4456216393135642,-1.2876461863035953,0.7851504817725311,0.613294767538716,3.0,2.0,2.0,3.0,0,0.3186954528873749,3.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,5.0,1.0,4.0,1.0,3.0,1.0,5.0,4.0,5.0,4.0,5.0,3.0,3.8676231864378487,1
423,GBS-28158,,0.9643225771425686,-1.016062617226608,0.3100579629838321,0.17633099834280683,-0.5734657706531676,0.977465930116216,5.0,-0.8305182273380257,-0.4456216393135642,-0.4332674500342379,-0.15779101750491065,0.613294767538716,4.0,3.0,3.0,2.0,0,0.3186954528873749,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,1.0,-0.3111846724384411,1
415,GBS-27950,POSITIV,0.9643225771425686,1.191860717759966,0.3100579629838321,0.17633099834280683,1.176664050478243,0.977465930116216,2.0,-0.8305182273380257,-0.4456216393135642,-1.2876461863035953,0.7851504817725311,-0.35259321250804426,3.0,3.0,4.0,1.0,0,0.3186954528873749,3.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,5.0,2.0,4.0,2.0,2.4746872334790853,1
481,GBS-30317,,0.9643225771425686,-0.6020769919166254,0.3100579629838321,0.17633099834280683,-0.5734657706531676,0.977465930116216,6.0,-0.8305182273380257,-0.4456216393135642,-0.4332674500342379,0.7851504817725311,1.5791827475854763,3.0,3.0,3.0,2.0,0,0.3186954528873749,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,5.0,2.0,-0.3111846724384411,1
237,GBS-18972,,-1.0369973945473194,0.6398798840133224,0.3100579629838321,0.17633099834280683,1.176664050478243,0.977465930116216,1.0,-0.8305182273380257,-0.4456216393135642,-1.2876461863035953,0.7851504817725311,-0.35259321250804426,4.0,3.0,3.0,2.0,0,0.3186954528873749,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,5.0,3.0,3.0,4.0,-0.3111846724384411,1
