GBS-CODE,Gruppe,Geschlecht,Geburtsjahr,Geburtsland,Nationalitaet,Familienstand,Hoechster Bildungsabschluss,Berufliche Ausbildung,Erwerbstaetigkeit,Berufsgruppe,Personen im Haushalt,Nettoeinkommen Selbst,Nettoeinkommen Haushalt,Schlechter Schlaf,Leben genießen,Zu Nichts aufraffen,Alles anstrengend,Wahlteilnahme,Wahlabsicht,Desinteresse Politiker,Zufriedenheit Leben,Aktiv,Verärgert,Wach,Nervös,Ängstlich,Zurueckhaltend,leicht Vertrauen,Faulheit,Entspannt,wenig kuenstlerisches Interesse,Gesellig,Andere kritisieren,Gruendlich,Nervoes,Phantasievoll,Druck,Optimismus Zukunft,Zufriedenheit Wahlergebnis,Resilienz
GBS+00027,NEGATIV,0.0,1969,1,1.0,1.0,2.0,1.0,1.0,3.0,4,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,1.0,5.0,4.0,4.0,3.0,5.0,2.0,3.0,2.0,4.0
GBS+00032,POSITIV,1.0,1949,1,1.0,2.0,3.0,5.0,1.0,6.0,1,0.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,4.0,2.0,5.0,1.0,5.0,4.0,5.0,3.0,1.0
GBS+00071,POSITIV,1.0,1960,1,1.0,2.0,2.0,6.0,1.0,3.0,2,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,1.0,4.0
GBS+00084,POSITIV,1.0,1962,1,1.0,2.0,3.0,6.0,1.0,0.0,1,1.0,1.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0
GBS+00092,,1.0,1957,1,1.0,1.0,3.0,2.0,1.0,2.0,1,2.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,2.0,4.0,2.0,4.0,2.0,5.0,2.0,5.0,4.0,5.0,2.0,2.0
GBS+00123,POSITIV,1.0,1963,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,5.0,5.0,5.0,1.0,3.0,1.0,5.0
GBS+00135,POSITIV,0.0,1961,1,1.0,1.0,3.0,5.0,1.0,0.0,2,1.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,2.0,3.0,4.0,2.0,1.0,4.0,4.0,2.0,2.0
GBS+00143,NEGATIV,0.0,1947,1,1.0,1.0,2.0,1.0,1.0,0.0,1,2.0,3.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,5.0,4.0,1.0,4.0,2.0,2.0,3.0,5.0,4.0,4.0,3.0,3.0,2.0,3.0
GBS+00155,,1.0,1961,0,0.0,1.0,3.0,2.0,1.0,0.0,2,4.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,5.0,4.0,1.0
GBS+00172,NEGATIV,0.0,1949,1,1.0,1.0,2.0,4.0,1.0,3.0,1,2.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,5.0,4.0,1.0
GBS+00178,,1.0,1965,1,1.0,2.0,2.0,1.0,1.0,0.0,1,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,2.0
GBS+00179,NEGATIV,1.0,1968,1,1.0,2.0,3.0,1.0,1.0,0.0,2,2.0,2.0,4.0,3.0,4.0,2.0,1.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,5.0,2.0,4.0,2.0,5.0,2.0,3.0,4.0,5.0,2.0,2.0
GBS+00180,POSITIV,1.0,1961,1,1.0,1.0,2.0,1.0,1.0,0.0,1,2.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,5.0
