,GBS-CODE,Gruppe,Geschlecht,Geburtsjahr,Geburtsland,Nationalitaet,Familienstand,Hoechster Bildungsabschluss,Berufliche Ausbildung,Erwerbstaetigkeit,Berufsgruppe,Personen im Haushalt,Nettoeinkommen Selbst,Nettoeinkommen Haushalt,Zurueckhaltend,leicht Vertrauen,Faulheit,Entspannt,wenig kuenstlerisches Interesse,Gesellig,Andere kritisieren,Gruendlich,Nervoes,Phantasievoll,Schlechter Schlaf,Leben genießen,Zu Nichts aufraffen,Alles anstrengend,Wahlteilnahme,Wahlabsicht,Desinteresse Politiker,Zufriedenheit Leben,Aktiv,Verärgert,Wach,Nervös,Ängstlich
0,GBS-18926,POSITIV,männlich,1979-04-02,Deutschland,1.0,Ledig,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)",Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,1.0,"Selbstständige (im Handel, im Gastgewerbe, im Handwerk, in der Industrie, der Dienstleistung, auch Ich-AG oder Produktionsgenossenschaft des Handwerks (PGH)-Mitglied)","mehrere Personen, und zwar:",1 250 	 bis unter 	1 500 Euro,3 750	 bis unter 	4 000 Euro,weder noch (3),weder noch (3),eher zutreffend (4),weder noch (3),weder noch (3),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),trifft eher nicht zu (2),trifft voll und ganz zu (5),2.0,2.0,2.0,3.0,,5.0,,2.0,2.0,2.0,2.0,2.0,4.0
1,GBS-18926,POSITIV,männlich,,,,,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)",,,,,1 250 	 bis unter 	1 500 Euro,,weder noch (3),weder noch (3),eher zutreffend (4),weder noch (3),weder noch (3),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),trifft eher nicht zu (2),trifft voll und ganz zu (5),2.0,2.0,2.0,3.0,True,,,2.0,2.0,3.0,4.0,4.0,4.0
2,GBS-18016,POSITIV,weiblich,1945-10-29,Deutschland,1.0,Geschieden,Hochschulabschluss,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",1.0,"Beamter/Beamtin, Richter/-in, Berufssoldat/-in",eine Person,2 250	 bis unter	2 500 Euro,2 250	 bis unter	2 500 Euro,trifft eher nicht zu (2),weder noch (3),weder noch (3),eher zutreffend (4),weder noch (3),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),trifft ueberhaupt nicht zu (1),trifft eher nicht zu (2),4.0,3.0,3.0,2.0,,5.0,,2.0,3.0,4.0,4.0,4.0,4.0
3,GBS-18016,POSITIV,weiblich,,,,,Hochschulabschluss,,,,,2 250	 bis unter	2 500 Euro,,trifft eher nicht zu (2),weder noch (3),weder noch (3),eher zutreffend (4),weder noch (3),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),trifft ueberhaupt nicht zu (1),trifft eher nicht zu (2),4.0,3.0,3.0,2.0,True,,,3.0,3.0,4.0,4.0,4.0,4.0
4,GBS-21180,NEGATIV,männlich,1949-09-06,Deutschland,1.0,Verheiratet und lebe mit meinem/r Ehepartner/-in zusammen,Hochschulabschluss,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",1.0,keine passende Angabe,"mehrere Personen, und zwar:",2 750	 bis unter 	3 000 Euro,3 750	 bis unter 	4 000 Euro,trifft voll und ganz zu (5),eher zutreffend (4),weder noch (3),weder noch (3),trifft eher nicht zu (2),trifft eher nicht zu (2),weder noch (3),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),3.0,3.0,3.0,2.0,,5.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0
5,GBS-21180,NEGATIV,männlich,,,,,Hochschulabschluss,,,,,2 750	 bis unter 	3 000 Euro,,trifft voll und ganz zu (5),eher zutreffend (4),weder noch (3),weder noch (3),trifft eher nicht zu (2),trifft eher nicht zu (2),weder noch (3),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),3.0,2.0,2.0,2.0,True,,,2.0,2.0,4.0,3.0,3.0,4.0
6,GBS-29457,POSITIV,weiblich,1992-07-31,Deutschland,1.0,Ledig,Hochschulabschluss,Bachelor an (Fach-)Hochschule abgeschlossen,1.0,Angestellte(r),eine Person,Angabe verweigert,Angabe verweigert,weder noch (3),eher zutreffend (4),trifft voll und ganz zu (5),weder noch (3),trifft ueberhaupt nicht zu (1),eher zutreffend (4),weder noch (3),trifft eher nicht zu (2),trifft eher nicht zu (2),trifft voll und ganz zu (5),4.0,2.0,3.0,2.0,,4.0,,1.0,3.0,3.0,4.0,2.0,4.0
7,GBS-29457,POSITIV,weiblich,,,,,Hochschulabschluss,,,,,Angabe verweigert,,weder noch (3),eher zutreffend (4),trifft voll und ganz zu (5),weder noch (3),trifft ueberhaupt nicht zu (1),eher zutreffend (4),weder noch (3),trifft eher nicht zu (2),trifft eher nicht zu (2),trifft voll und ganz zu (5),4.0,3.0,2.0,2.0,,,,3.0,2.0,3.0,4.0,3.0,4.0
8,GBS-24376,POSITIV,weiblich,1984-03-01,Deutschland,1.0,Ledig,Hauptschulabschluss/Volksschulabschluss,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,1.0,Angestellte(r),"mehrere Personen, und zwar:",1 250 	 bis unter 	1 500 Euro,1 250 	 bis unter 	1 500 Euro,trifft ueberhaupt nicht zu (1),trifft eher nicht zu (2),trifft ueberhaupt nicht zu (1),trifft ueberhaupt nicht zu (1),trifft eher nicht zu (2),trifft eher nicht zu (2),trifft eher nicht zu (2),trifft eher nicht zu (2),trifft eher nicht zu (2),trifft ueberhaupt nicht zu (1),3.0,3.0,3.0,2.0,,3.0,,3.0,3.0,3.0,3.0,3.0,3.0
9,GBS-24376,POSITIV,weiblich,,,,,Hauptschulabschluss/Volksschulabschluss,,,,,1 250 	 bis unter 	1 500 Euro,,trifft ueberhaupt nicht zu (1),trifft eher nicht zu (2),trifft ueberhaupt nicht zu (1),trifft ueberhaupt nicht zu (1),trifft eher nicht zu (2),trifft eher nicht zu (2),trifft eher nicht zu (2),trifft eher nicht zu (2),trifft eher nicht zu (2),trifft ueberhaupt nicht zu (1),3.0,3.0,3.0,2.0,True,,,3.0,3.0,2.0,3.0,3.0,3.0
