,Aktiv,Alles anstrengend,Alter,Andere kritisieren,BRS1,BRS2,BRS3,BRS4,BRS5,BRS6,Berufliche Ausbildung,Berufsgruppe,Desinteresse Politiker,Druck,Entspannt,Erwerbstätigkeit,Familienstand,Faulheit,Geburtsland,Geschlecht,Gesellig,Gruendlich,Hoechster Bildungsabschluss,IE_ext1,IE_ext2,IE_int1,IE_int2,Id,Leben genießen,Nationalitaet,Nervoes,Nervös,Nettoeinkommen Haushalt,Nettoeinkommen Selbst,Optimismus,Optimismus Zukunft,Pessimismus,Phantasievoll,Resilienz,Schlechter Schlaf,Schulabschluss,Verärgert,Wach,Wahlabsicht,Wahlteilnahme,Zufriedenheit Leben,Zufriedenheit Wahlergebnis,Zurueckhaltend,label,leicht Vertrauen,wenig kuenstlerisches Interesse,woechentlicheArbeitszeit,Ängstlich
454,3.0,2.0,48.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,2.0,4.0,4.0,3.0,3.0,GBS+00027,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1,4.0,1.0,4,4.0
440,3.0,2.0,68.0,2.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,8.0,3.5,4.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,5.0,3.0,2.0,1.0,5.0,5.0,GBS+00032,3.0,1.0,1.0,4.0,1.0,0.0,7.0,5.0,1.0,5.0,1.0,3.0,5.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,1,3.0,1.0,1,4.0
751,3.0,2.0,56.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,6.0,4.0,3.5,2.0,3.0,1.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,GBS+00071,3.0,1.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,4.0,1,4.0,4.0,3,3.0
910,3.0,2.0,55.0,3.0,4.0,2.0,4.0,3.0,4.0,2.0,6.0,3.0,3.5,3.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,GBS+00084,3.0,1.0,2.0,4.0,1.0,1.0,5.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,3.0,4.0,1,4.0,4.0,3,4.0
307,3.0,2.0,60.0,2.0,5.0,2.0,5.0,2.0,5.0,2.0,2.0,3.0,3.5,4.0,4.0,1.0,1.0,2.0,1.0,2.0,4.0,5.0,3.0,2.0,2.0,4.0,4.0,GBS+00092,3.0,1.0,2.0,4.0,3.0,2.0,6.0,5.0,2.0,5.0,2.0,4.0,5.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,1,5.0,2.0,5,4.0
792,2.0,3.0,54.0,2.0,1.0,5.0,1.0,5.0,1.0,5.0,2.0,3.0,3.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,1.0,4.0,5.0,3.0,1.0,GBS+00123,1.0,1.0,5.0,2.0,3.0,1.0,2.0,3.0,5.0,5.0,5.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1,2.0,2.0,5,4.0
235,3.0,2.0,56.0,3.0,5.0,2.0,5.0,1.0,5.0,2.0,5.0,3.0,3.5,4.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,GBS+00135,3.0,1.0,2.0,4.0,3.0,1.0,5.0,4.0,3.0,1.0,2.0,4.0,5.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,1,4.0,5.0,3,4.0
691,2.0,3.0,70.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,3.5,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,2.0,2.0,4.0,3.0,GBS+00143,2.0,1.0,4.0,3.0,3.0,2.0,2.0,3.0,6.0,4.0,3.0,4.0,3.0,2.0,4.0,1.0,1.0,2.0,2.0,5.0,1,4.0,2.0,5,3.0
578,3.0,2.0,56.0,2.0,5.0,2.0,4.0,2.0,4.0,1.0,2.0,3.0,3.5,3.0,4.0,1.0,1.0,1.0,0.0,2.0,3.0,4.0,3.0,1.0,1.0,5.0,5.0,GBS+00155,3.0,0.0,2.0,4.0,4.0,4.0,6.0,5.0,2.0,3.0,1.0,3.0,5.0,4.0,4.0,1.0,1.0,3.0,4.0,4.0,1,4.0,2.0,3,4.0
934,3.0,2.0,68.0,3.0,5.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,4.0,4.0,GBS+00172,3.0,1.0,2.0,3.0,4.0,2.0,6.0,4.0,1.0,3.0,2.0,3.0,3.0,4.0,4.0,1.0,1.0,3.0,3.0,4.0,1,4.0,4.0,1,4.0
545,4.0,2.0,48.0,2.0,5.0,1.0,5.0,2.0,5.0,2.0,1.0,3.0,2.0,4.0,5.0,1.0,2.0,2.0,1.0,2.0,4.0,5.0,3.0,1.0,1.0,5.0,4.0,GBS+00179,3.0,1.0,2.0,4.0,2.0,2.0,6.0,5.0,1.0,3.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,1,3.0,2.0,3,4.0
628,2.0,3.0,56.0,3.0,4.0,2.0,3.0,4.0,4.0,5.0,2.0,3.0,3.5,2.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,GBS+00180,2.0,1.0,3.0,2.0,3.0,2.0,7.0,3.0,1.0,4.0,5.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1,4.0,2.0,5,2.0
528,3.0,2.0,59.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,3.5,4.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,1.0,1.0,5.0,4.0,GBS+00183,3.0,1.0,4.0,4.0,3.0,1.0,7.0,5.0,1.0,3.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,3.0,1.0,1,5.0,3.0,5,4.0
600,3.0,2.0,61.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,1.0,3.0,3.5,3.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,GBS+00199,3.0,1.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,2.0,3.0,4.0,1,3.0,3.0,3,4.0
635,3.0,2.0,55.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,1.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,5.0,4.0,2.0,2.0,3.0,4.0,4.0,GBS+00226,3.0,1.0,4.0,4.0,2.0,1.0,6.0,5.0,2.0,5.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,3.0,3.0,4.0,1,4.0,2.0,3,4.0
972,2.0,3.0,42.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,1.0,3.0,3.5,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,3.0,2.0,4.0,4.0,GBS+00232,2.0,1.0,4.0,2.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,1,4.0,3.0,3,3.0
