Aktiv,Alles anstrengend,Alter,Andere kritisieren,BRS1,BRS2,BRS3,BRS4,BRS5,BRS6,Berufliche Ausbildung,Berufsgruppe,Desinteresse Politiker,Druck,Entspannt,Erwerbstaetigkeit,Familienstand,Faulheit,Geburtsland,Geschlecht,Gesellig,Gruendlich,Hoechster Bildungsabschluss,IE_ext1,IE_ext2,IE_int1,IE_int2,Id,Leben genießen,Nationalitaet,Nervoes,Nervös,Nettoeinkommen Haushalt,Nettoeinkommen Selbst,Optimismus,Optimismus Zukunft,Personen im Haushalt,Pessimismus,Phantasievoll,Resilienz,Schlechter Schlaf,Schulabschluss,Verärgert,Wach,Wahlabsicht,Wahlteilnahme,Zufriedenheit Leben,Zufriedenheit Wahlergebnis,Zurueckhaltend,label,leicht Vertrauen,wenig kuenstlerisches Interesse,woechentlicheArbeitszeit,Ängstlich
3.0,2.0,56.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,6.0,4.0,3.5,2.0,3.0,1.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,GBS+00071,3.0,1.0,3.0,3.0,2.0,2.0,4.0,3.0,"mehrere Personen, und zwar:",4.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,4.0,1,4.0,4.0,3.0,3.0
2.0,3.0,54.0,2.0,1.0,5.0,1.0,5.0,1.0,5.0,2.0,3.0,3.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,1.0,4.0,5.0,3.0,1.0,GBS+00123,1.0,1.0,5.0,2.0,3.0,1.0,2.0,3.0,,5.0,5.0,5.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1,2.0,2.0,5.0,4.0
2.0,3.0,70.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,3.5,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,2.0,2.0,4.0,3.0,GBS+00143,2.0,1.0,4.0,3.0,3.0,2.0,2.0,3.0,,6.0,4.0,3.0,4.0,3.0,2.0,4.0,1.0,1.0,2.0,2.0,5.0,1,4.0,2.0,5.0,3.0
3.0,2.0,55.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,1.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,5.0,4.0,2.0,2.0,3.0,4.0,4.0,GBS+00226,3.0,1.0,4.0,4.0,2.0,1.0,6.0,5.0,"mehrere Personen, und zwar:",2.0,5.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,3.0,3.0,4.0,1,4.0,2.0,3.0,4.0
2.0,3.0,42.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,1.0,3.0,3.5,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,3.0,2.0,4.0,4.0,GBS+00232,2.0,1.0,4.0,2.0,4.0,3.0,3.0,3.0,"mehrere Personen, und zwar:",5.0,5.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,1,4.0,3.0,3.0,3.0
3.0,2.0,59.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,6.0,3.0,3.5,2.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,GBS+00234,2.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,"mehrere Personen, und zwar:",5.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,1,4.0,4.0,3.0,3.0
3.0,2.0,58.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,3.5,3.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,GBS+00242,3.0,1.0,3.0,4.0,4.0,4.0,6.0,5.0,"mehrere Personen, und zwar:",2.0,4.0,3.0,3.0,5.0,4.0,4.0,1.0,1.0,3.0,3.0,4.0,1,3.0,2.0,3.0,4.0
1.0,3.0,21.0,2.0,4.0,4.0,3.0,3.0,2.0,4.0,8.0,8.0,3.5,1.0,4.0,2.0,2.0,5.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,GBS-03772,1.0,1.0,2.0,1.0,0.0,0.0,4.0,3.0,eine Person,4.0,3.0,4.0,4.0,4.0,2.0,3.0,1.0,1.0,2.0,3.0,4.0,1,4.0,4.0,1.0,4.0
3.0,2.0,47.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,2.0,3.0,3.5,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,GBS-03802,3.0,1.0,1.0,4.0,3.0,0.0,6.0,4.0,,2.0,5.0,5.0,3.0,4.0,4.0,4.0,1.0,1.0,3.0,1.0,5.0,1,5.0,5.0,5.0,3.0
1.0,4.0,50.0,2.0,4.0,4.0,4.0,3.0,2.0,5.0,1.0,8.0,3.5,2.0,4.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,GBS-05025,1.0,1.0,4.0,3.0,0.0,0.0,6.0,3.0,eine Person,2.0,5.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,1,4.0,2.0,1.0,2.0
