GBS-CODE,Gruppe,Geschlecht,Geburtsjahr,Alter,Geburtsland,Nationalitaet,Familienstand,Hoechster Bildungsabschluss,Berufliche Ausbildung,Erwerbstaetigkeit,Berufsgruppe,Personen im Haushalt,Nettoeinkommen Selbst,Nettoeinkommen Haushalt,Schlechter Schlaf,Leben genießen,Zu Nichts aufraffen,Alles anstrengend,Wahlteilnahme,Wahlabsicht,Desinteresse Politiker,Zufriedenheit Leben,Aktiv,Verärgert,Wach,Nervös,Ängstlich,Zurueckhaltend,leicht Vertrauen,Faulheit,Entspannt,wenig kuenstlerisches Interesse,Gesellig,Andere kritisieren,Gruendlich,Nervoes,Phantasievoll,Druck,Optimismus Zukunft,Zufriedenheit Wahlergebnis,Resilienz,BRS1,BRS2,BRS3,BRS4,BRS5,BRS6,woechentlicheArbeitszeit,Optimismus,Pessimismus,Schulabschluss,label
GBS+00027,NEGATIV,0,1969,48,1,1,1,2,1,1,3,4,3,3,2,2,3,2,1,1,2,2,3,2,2,2,4,2,4,2,2,1,5,4,4,3,5,2,3,2,4,3,2,3,3,3,4,4,3,4,3,1
GBS+00199,,0,1955,61,1,1,1,2,1,1,0,2,2,2,3,3,3,2,1,1,3,2,3,4,3,3,4,4,3,2,3,3,3,4,4,3,4,3,3,3,3,2,3,4,3,2,3,3,4,4,3,1
GBS+00232,POSITIV,0,1974,42,1,1,1,2,1,1,0,3,3,4,2,2,2,3,1,1,3,3,2,2,2,2,3,2,4,1,2,3,5,4,5,4,5,2,3,4,4,2,4,2,4,2,4,3,3,5,3,1
GBS+00253,NEGATIV,1,1951,65,1,1,1,2,4,1,0,2,0,3,4,3,3,2,1,1,1,3,3,3,4,3,3,2,3,3,2,2,4,4,4,4,4,4,3,3,3,2,3,2,3,2,3,3,3,5,3,1
GBS+00259,,1,1967,49,1,1,2,2,1,1,0,4,3,4,4,3,3,2,1,1,3,3,3,3,4,4,4,4,3,3,4,3,4,3,5,2,2,4,5,4,2,4,5,5,1,5,2,3,7,2,3,1
GBS-01709,,1,1965,52,1,1,1,2,1,1,0,6,3,4,3,3,3,2,1,1,3,3,3,3,3,4,4,1,5,1,4,5,5,3,5,1,5,3,3,4,1,5,1,5,1,5,1,3,5,2,3,1
GBS-01759,NEGATIV,0,1964,53,1,1,1,1,1,1,0,2,2,2,3,3,3,2,1,1,1,3,3,4,3,4,4,2,3,1,2,4,4,3,4,2,3,3,5,3,2,4,1,4,1,4,2,5,6,1,2,1
GBS-01820,POSITIV,0,1970,47,1,1,1,3,5,1,0,2,2,3,3,2,3,2,1,1,3,2,3,4,4,4,4,4,4,1,4,3,4,4,4,2,5,3,5,5,1,5,2,5,2,4,1,4,6,2,5,1
GBS-04671,,0,1974,43,1,1,1,3,5,1,0,5,4,4,3,3,3,2,1,1,3,3,3,3,4,3,3,4,4,3,4,2,4,3,5,3,4,3,5,4,2,5,1,5,2,4,2,4,6,2,5,1
GBS-04771,POSITIV,0,1970,47,1,1,1,3,5,1,0,3,2,2,2,2,3,2,1,1,3,3,3,4,4,3,4,2,4,3,3,3,4,2,4,5,3,4,4,3,2,3,3,4,2,4,2,3,5,2,5,1
GBS-04825,,1,1967,49,1,1,1,1,1,1,0,2,2,3,2,2,3,2,0,1,3,4,3,3,2,3,3,2,4,2,2,4,4,2,4,4,4,2,3,3,3,4,2,4,2,3,3,3,5,2,2,1
GBS-05132,,0,1978,38,1,1,1,2,5,1,0,3,2,3,3,3,3,2,1,1,3,3,3,3,4,4,4,2,4,1,4,2,5,4,4,1,4,4,5,2,2,5,2,4,4,5,2,3,6,2,4,1
